    1.42895D-02    6.05913D+00    8.22520D-01
    2.07267D-04   -9.50552D+00   -3.06319D+00
    2.14901D-01   -4.90773D-05    7.89829D-06
   -6.78931D-04    6.08475D-02    2.44811D-02
   -4.64914D-02   -2.51805D-03    1.29281D-02
    2.75195D-03   -1.16694D-01    5.19928D-01
   -2.08372D-04   -7.72565D-01   -1.20075D+00
    1.44227D+01    1.44671D-04   -6.77128D-05
   -5.32617D-04    2.56710D+00    3.98915D-01
    8.52530D+00    6.88661D-04    5.75063D-05
   -4.25222D-04    1.86904D+01    3.58296D+00
   -1.04552D-04   -2.50837D+00   -1.44146D-01
   -2.16193D-04    7.76811D-01   -8.44170D-01
    1.17806D+01   -1.92543D-04   -1.54160D-04
   -2.03586D-03   -3.12805D+00   -7.03963D-01
   -1.85654D+01   -6.48516D-04    7.68935D-05
   -1.33101D-03    3.54401D+00    6.95750D-02
   -8.10658D-05    8.13679D-01    5.61451D-01
    3.04673D-04   -5.56869D+00   -5.33824D-01
    2.31463D+01    5.49425D-04   -3.76055D-05
   -3.40408D+01   -7.44063D-04    7.01557D-05
   -4.43609D-04    1.44926D+01   -2.02127D+00
   -1.94746D-04   -5.75246D-01   -2.32157D-01
    2.72609D+01    7.55736D-04    4.81126D-06
   -7.05669D-04    1.06280D+01    1.16598D+00
    2.36377D-03   -1.05890D-01   -4.27233D-02
   -7.47842D+00   -2.92303D-04   -8.12087D-05
    9.00176D+00    2.86718D-04   -2.87407D-05
   -1.23117D-03   -7.47847D-01   -3.85771D-02
    1.72227D+01    4.25679D-04    2.39365D-05
   -1.32340D-01   -2.13001D-04   -4.85393D-03
   -2.92240D-03    1.73625D-02    2.41823D-01
   -1.46127D-03    2.31300D-01   -2.59932D-01
    8.22538D-02   -8.02822D-03    5.28075D-02
   -4.76467D-04   -8.96701D-01    6.08104D+00
   -2.69922D-04    9.17724D+00    1.92304D+00
   -5.04638D+00   -4.52972D-05   -2.09183D-04
   -7.09966D-04   -9.27072D-01    3.34677D-02
   -1.65863D+01   -2.85278D-04    1.94432D-04
    1.02592D+01    2.37385D-04    1.29686D-04
   -1.03618D-03    2.29834D+00    1.12869D-01
    8.85168D-05    8.10447D+00    4.34870D-01
   -1.07885D+01    9.95284D-06    4.58298D-05
   -5.43853D-04   -8.04091D+00   -8.87109D-01
    1.87790D-04   -5.72380D+00    1.10196D-02
   -4.10084D+01   -5.05859D-04    6.90461D-05
   -1.22913D-03   -9.47808D+00   -8.50686D-01
    4.01477D-04   -6.47786D+00    1.61146D+01
    1.98264D+00   -8.43340D-02   -1.17269D-02
    2.07019D-02    7.79741D+00    1.07197D+00
   -1.22813D+01   -7.17429D-04    1.64438D-04
    4.94307D-03   -1.28836D-01   -2.22947D-01
   -5.44021D-02    5.88537D-02   -3.99600D-01
   -4.32637D-03   -7.30091D-01    4.96807D+00
   -5.52102D-02   -3.78906D-02    2.83669D-01
   -3.05218D-03    7.48935D-01   -5.59240D+00
   -4.31349D-01   -2.43201D-01   -3.51542D-02
   -9.93046D-02    1.04000D+00    1.50101D-01
   -5.57753D+00    7.65913D-02    9.74988D-03
   -1.86159D-01   -2.28975D+00   -2.92564D-01
    1.11747D-03    1.20752D+00   -6.61356D-01
   -2.98359D-03   -5.52042D-01   -3.88181D-01
    1.41616D+00   -2.13625D-03   -2.64510D-04
    2.10674D-01   -9.82337D-03    2.16898D-04
   -1.01809D-02   -2.04512D-01    4.82520D-03
   -2.40491D-04    4.51515D-01    7.08595D-01
   -2.68734D+00    1.16102D-02    2.22574D-03
   -7.58641D-02   -4.14245D-01   -8.07238D-02
    3.16295D-04   -1.16810D+01    2.33770D+00
