       Frequencies ---    12.0337   18.7242   23.0367   34.7097   39.1223
    Reduced masses ---     4.3932    3.7015    3.4407    3.5279    3.5536
   Force constants ---     0.0004    0.0008    0.0011    0.0025    0.0032
    IR Intensities ---     0.0257    0.7580    1.3228    0.5830    0.4040
  Raman Activities ---     7.6935    1.2693    3.8760    4.4111    1.8832
    Depol. (Plane) ---     0.7498    0.7266    0.7488    0.7094    0.7447
    Depol. (Unpol) ---     0.8570    0.8416    0.8563    0.8300    0.8537
 Coord Atom Element:
   1    25     6          0.25456   0.02262  -0.04290   0.08433  -0.03587
   2    25     6         -0.11425   0.11764   0.07141   0.27919  -0.08939
   3    25     6          0.05864   0.03657  -0.00050   0.08085  -0.00535
   1    26     6         -0.03841   0.00144  -0.00133   0.00523  -0.00723
   2    26     6          0.03799  -0.00453  -0.05935   0.00704   0.06817
   3    26     6          0.00108  -0.05632   0.16318  -0.10321  -0.17621
   1    27     6         -0.04067  -0.00341   0.00963   0.00759   0.00660
   2    27     6         -0.02817  -0.00222   0.05579   0.00380   0.06094
   3    27     6         -0.00367  -0.06030  -0.16108  -0.00210  -0.21908
   1    28     7         -0.01975   0.00064  -0.01138  -0.00482   0.00288
   2    28     7          0.04555  -0.00762  -0.04134  -0.03521  -0.00179
   3    28     7         -0.04142  -0.00664   0.05560   0.01640   0.02283
