   0.758215D-01   0.704587D-02   0.141328D-01
   0.557693D+00  -0.861908D-01  -0.388195D-01
  -0.861908D-01  -0.272130D+00   0.281165D+00
  -0.388195D-01   0.281165D+00   0.164485D-01
  -0.139692D+00  -0.103925D-02  -0.281047D+00
  -0.103925D-02   0.806189D-01  -0.724186D-01
  -0.281047D+00  -0.724186D-01  -0.636526D-01
   0.109327D+00   0.161045D-01  -0.101422D-01
   0.161045D-01   0.344387D+00   0.118661D+00
  -0.101422D-01   0.118661D+00   0.139100D+00
  -0.542167D-01   0.745765D-02  -0.252068D-01
   0.745765D-02  -0.241240D+00   0.242744D-01
  -0.252068D-01   0.242744D-01   0.203182D+00
   0.950173D-02   0.317644D-01  -0.924931D-01
   0.317644D-01   0.195099D-03   0.225009D-02
  -0.924931D-01   0.225009D-02  -0.419100D-02
  -0.240167D+00   0.521487D-01   0.214813D-02
   0.521487D-01   0.304785D+00  -0.113112D+00
   0.214813D-02  -0.113112D+00   0.782328D-01
  -0.132283D+01   0.421515D-01  -0.118192D-01
   0.421515D-01  -0.574989D-01  -0.540590D-01
  -0.118192D-01  -0.540590D-01  -0.498801D-01
   0.163166D-01   0.160079D+00  -0.278424D+00
   0.160079D+00   0.215108D-01  -0.302670D-02
  -0.278424D+00  -0.302670D-02  -0.256960D-01
   0.140859D+01  -0.702287D-01   0.403263D-01
  -0.702287D-01   0.435955D+00  -0.401278D-01
   0.403263D-01  -0.401278D-01  -0.353803D-01
  -0.687930D+00  -0.893627D-01  -0.901982D-01
  -0.893627D-01   0.124006D+00  -0.115063D+00
  -0.901982D-01  -0.115063D+00  -0.147575D+00
   0.254576D+00  -0.766035D-01  -0.436012D-01
  -0.766035D-01  -0.428637D+00   0.129184D+00
  -0.436012D-01   0.129184D+00   0.165979D+00
  -0.839710D+00   0.443906D-01   0.216648D-01
   0.443906D-01  -0.176496D+00  -0.152230D+00
   0.216648D-01  -0.152230D+00  -0.260324D+00
  -0.134606D-02   0.168548D+00  -0.426169D-01
   0.168548D+00  -0.202098D-01   0.165164D-02
  -0.426169D-01   0.165164D-02  -0.819345D-02
   0.124954D+00  -0.333471D-01  -0.150084D-01
  -0.333471D-01  -0.188786D+00   0.627955D-01
  -0.150084D-01   0.627955D-01   0.393387D-01
   0.224269D-01   0.349752D+00   0.151536D+00
